Name;1Q1993;2Q1993;3Q1993;4Q1993;1Q1994;2Q1994;3Q1994;4Q1994;1Q1995;2Q1995;3Q1995;4Q1995;1Q1996;2Q1996;3Q1996;4Q1996;1Q1997;2Q1997;3Q1997;4Q1997;1Q1998;2Q1998;3Q1998;4Q1998;1Q1999;2Q1999;3Q1999;4Q1999;1Q2000;2Q2000;3Q2000;4Q2000;1Q2001;2Q2001;3Q2001;4Q2001;1Q2002;2Q2002;3Q2002;4Q2002;1Q2003;2Q2003;3Q2003;4Q2003;1Q2004;2Q2004;3Q2004;4Q2004;1Q2005;2Q2005;3Q2005;4Q2005;1Q2006;2Q2006;3Q2006;4Q2006;1Q2007;2Q2007;3Q2007;4Q2007;1Q2008;2Q2008;3Q2008;4Q2008;1Q2009;2Q2009;3Q2009;4Q2009;1Q2010;2Q2010;3Q2010;4Q2010;1Q2011;2Q2011;3Q2011;4Q2011;1Q2012;2Q2012;3Q2012;4Q2012;1Q2013;2Q2013;3Q2013;4Q2013;1Q2014;2Q2014;3Q2014;4Q2014;1Q2015;2Q2015;3Q2015;4Q2015;1Q2016;2Q2016;3Q2016;4Q2016;
General Government Breakdown,General government debt,General Government debt (maastricht debt),[SK, GG, n, nsa, mil. Eur], SO SR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13822.78;15069.04;15242.22;15681.7;15801.85;16352.96;16382.99;16565.649;16927.491;17297.303;16136.175;15986.438;15834.726;16442.484;16413.092;17219.548;17609.82;18345.732;18596.514;18735.306;17643.584;16663.452;16827.22;17201.179;17884.39;17821.91;17568.25;17430.537;16917.63;18870.04;18922.52;18979.8;17628.65;17617.25;18199.7;19493.7;19849.75;21971.24;23143.18;23236.84;23801.92;25972.55;25870.46;27842.28;29301.81;29905.47;29877.07;30846.87;33290.43;36219.29;37340.41;37925.71;40017.58;42277.74;41689.89;40600.01;42983.48;41768.86;41858.06;40725.02;41325.52;41904.25;41635.44;41293.32;41034.23;42259.87;;;
General Government Breakdown,General government debt,Central Government debt   ,[SK, CG, n, nsa, mil. Eur], SO SR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13463.32;14708.33;14713.04;15275.54;15409.24;15965.92;16014.41;16205.159;16599.131;16990.153;15827.965;15667.878;15508.626;16111.474;16109.162;16889.008;17285.08;18003.772;18272.544;18324.766;17950.864;16959.822;16963.78;17273.319;17935.61;17863.15;17674.94;17604.947;17121.57;19027.43;19062.83;19125.61;17829.63;17909.47;18532.35;19661.38;19853.6;21721.06;22810.17;22914.04;23369.89;25541.93;25324.34;27267.86;28766;29461.46;29512.71;30547.6;32982.14;35986.96;37068.47;37766.52;39949.1;42179.34;41582.4;40500.49;42851.38;41671.49;41802.87;40531.4;41153.47;42239.52;41870.04;41340.82;40961.46;42190.18;;;
General Government Breakdown,General government debt,Local Government debt,[SK, LG, n, nsa, mil. Eur], SO SR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;362.28;363.74;532.99;417.48;406.29;407.72;405;431.65;411.14;432.32;461.96;480.98;501.1;505.18;476.8;487.85;454.59;499.27;522.11;621.09;624.24;642.82;705.11;788.28;810.89;817.46;832.69;918.13;919.24;980.13;1006.97;1117.45;1067.53;1091.9;1132.17;1288.07;1281.2;1337.45;1389.04;1507.88;1478.07;1531.49;1652.52;1787.48;1766.33;1767.7;1792.49;1717.26;1722.48;1703.32;1696.88;1683.75;1660.24;1619.4;1634.76;1638.73;1683.54;1665.17;1663.96;1688.39;1705.25;1710.25;1708.5;1823.26;1822;1795.94;;;
General Government Breakdown,General government debt,Social Security Funds debt,[SK, SSF, n, nsa, mil. Eur], SO SR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;132.78;132.78;132.78;146.05;146.05;146.05;151.53;112.56;112.56;112.56;112.56;93.71;93.71;90.42;58.09;13.28;13.28;6.64;6.64;6.64;6.64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.33;1.52;0.4;0.37;0.24;0;;;
General Government Breakdown,General government debt,EFSF,  ESM,[SK, GG, n, nsa, mil. Eur], Eurostat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;43.6159;119.692;119.692;172.6129;615.682;1092.8196;1120.494;1758.008;1817.614;2184.336;2221.667;2422.8027633639;2423.13595054896;2635.7;2657.007;2657.007;2540.64;2540.63989453698;2540.63989453698;2540.63989453698;2540.63989453698;2540.63989453698;;;
General Government Breakdown,General government debt,Net debt,[SK, GG, n, nsa, mil. Eur], NBS calculations;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4419.17;5477.819;5857.198;7214.057;7256.238;7376.759;7612.699;8942.839;9996.228;9732.859;6623.469;6995.744;6825.268;6897.207;6786.486;8605.613;8681.301;8847.148;9754.248;9907.15;10804.431755;10092.134755;10688.350755;12411.730755;11868.862755;10419.353755;10706.593755;13171.671755;12960.608755;12703.386755;12552.780755;13411.185755;13563.8171902261;13019.8870148204;12824.8880148204;14065.046755;14400.587755;15558.147755;16508.724755;19080.230755;19506.680755;20964.693755;21865.725755;23966.389755;24963.201755;25473.242755;25901.613755;27660.649755;28583.640755;28689.521755;28948.515755;30285.384755;30903.068;31205.237;31333.599;32316.899;33156.609;33530.574;33309.471;34260.825;34787.73;34008.31;33363.22;34354.95;34865.16;35073.12;;;
