Name,"Unemployment, NAIRU,UPSVAR unemployment, SA,registered unemployment rate,[SK, sa, %], UPSVAR, NBS calculations","Unemployment, NAIRU,UPSVAR unemployment, SA,number of unemployed persons,[SK, sa, thousands], UPSVAR, NBS calculations"
1Q1993,,
2Q1993,,
3Q1993,,
4Q1993,,
1Q1994,,
2Q1994,,
3Q1994,,
4Q1994,,
1Q1995,,
2Q1995,,
3Q1995,,
4Q1995,,
1Q1996,,
2Q1996,,
3Q1996,,
4Q1996,,
1Q1997,,344.384082113009
2Q1997,,340.087037731174
3Q1997,,349.060824875127
4Q1997,,355.373888740911
1Q1998,13.0911187108574,364.311464674922
2Q1998,13.7544761173224,381.129932938905
3Q1998,14.4227465053901,403.351255406249
4Q1998,15.4893771636682,427.334920346096
1Q1999,16.205148409401,455.796327682491
2Q1999,17.5670143486753,493.725537195467
3Q1999,18.7943051726125,526.94316196279
4Q1999,19.3174570814375,539.642479918533
1Q2000,19.1639119880306,544.151462482378
2Q2000,19.5588626039768,554.717093607745
3Q2000,18.5485880963582,528.818062499481
4Q2000,17.7431447475747,504.849682133574
1Q2001,19.1989060422587,545.222541278646
2Q2001,18.5874923650917,529.274770448343
3Q2001,18.5567099966035,531.206657929124
4Q2001,18.7043847269016,537.522373918712
1Q2002,19.0123277582665,545.418282782901
2Q2002,18.5846702624444,535.284504358447
3Q2002,18.0475140539246,521.398599025517
4Q2002,17.6022043399488,509.740995242742
1Q2003,16.5804672675066,480.856934099479
2Q2003,15.6586135548845,458.068834517957
3Q2003,15.0743292954888,442.298795968594
4Q2003,15.1076339155469,442.413265095473
1Q2004,15.9117619729502,450.064150170555
2Q2004,15.222849849629,434.140442712402
3Q2004,14.1332962818599,409.280607862376
4Q2004,13.3168271161213,388.419853070269
1Q2005,12.5938472013076,366.039791233783
2Q2005,11.5979731483005,339.15446061769
3Q2005,11.2192151294191,329.127259599413
4Q2005,11.17645282507,327.809850460836
1Q2006,11.1956757352566,323.994061830452
2Q2006,10.7626864289474,309.06520084589
3Q2006,10.087810644651,289.995516942696
4Q2006,9.42421873233245,273.565742140995
1Q2007,8.80494371588167,261.348045183938
2Q2007,8.45619193490175,252.041780184062
3Q2007,8.38052290243234,249.039543321495
4Q2007,8.06597425416297,241.112943454048
1Q2008,7.50257715920921,226.448194108277
2Q2008,7.44109758072649,224.637771134678
3Q2008,7.56292047590599,229.535325579642
4Q2008,8.10275458598862,241.443280186934
1Q2009,9.40717930211338,281.117017007412
2Q2009,11.3753518949416,338.257622874032
3Q2009,12.2693158811474,363.26694770369
4Q2009,12.6617622153307,377.65357733867
1Q2010,12.6268362472698,384.595897373512
2Q2010,12.4043902328351,380.34807671822
3Q2010,12.415670907673,378.675384141236
4Q2010,12.4600367798503,379.331384879941
1Q2011,12.7941341078487,383.763653581765
2Q2011,12.9876682028482,385.326860140658
3Q2011,13.3260785957047,391.392892013062
4Q2011,13.4978589685131,396.184112340315
1Q2012,13.4188215536745,400.270650310902
2Q2012,13.3879655429191,398.680428310799
3Q2012,13.4454912125002,404.678690401156
4Q2012,14.0883968703005,419.812321500639
1Q2013,14.4500552322088,425.712070255887
2Q2013,14.3884225726656,421.510682545385
3Q2013,13.9469552228265,410.463144043406
4Q2013,13.6135433350724,401.612730678511
1Q2014,13.2321242560029,392.829720701982
2Q2014,12.9448141894332,390.033406959553
3Q2014,12.6159005979877,383.741680628748
4Q2014,12.3277543473838,375.383123552264
1Q2015,12.0837409426622,368.564145841486
2Q2015,11.6873619293282,358.935184409762
3Q2015,11.3821183723531,351.162445208613
4Q2015,10.8165160138533,338.770090684138
1Q2016,9.99946438181731,319.288548942043
2Q2016,9.65530780388936,307.739335049422
3Q2016,9.40142901410684,296.73092310364
4Q2016,,
,,
