Name,"Unemployment, NAIRU,UPSVAR unemployment, SA,registered unemployment rate,[SK, sa, %], UPSVAR, NBS calculations"
1Q1993,
2Q1993,
3Q1993,
4Q1993,
1Q1994,
2Q1994,
3Q1994,
4Q1994,
1Q1995,
2Q1995,
3Q1995,
4Q1995,
1Q1996,
2Q1996,
3Q1996,
4Q1996,
1Q1997,
2Q1997,
3Q1997,
4Q1997,
1Q1998,13.0911187108574
2Q1998,13.7544761173224
3Q1998,14.4227465053901
4Q1998,15.4893771636682
1Q1999,16.205148409401
2Q1999,17.5670143486753
3Q1999,18.7943051726125
4Q1999,19.3174570814375
1Q2000,19.1639119880306
2Q2000,19.5588626039768
3Q2000,18.5485880963582
4Q2000,17.7431447475747
1Q2001,19.1989060422587
2Q2001,18.5874923650917
3Q2001,18.5567099966035
4Q2001,18.7043847269016
1Q2002,19.0123277582665
2Q2002,18.5846702624444
3Q2002,18.0475140539246
4Q2002,17.6022043399488
1Q2003,16.5804672675066
2Q2003,15.6586135548845
3Q2003,15.0743292954888
4Q2003,15.1076339155469
1Q2004,15.9117619729502
2Q2004,15.222849849629
3Q2004,14.1332962818599
4Q2004,13.3168271161213
1Q2005,12.5938472013076
2Q2005,11.5979731483005
3Q2005,11.2192151294191
4Q2005,11.17645282507
1Q2006,11.1956757352566
2Q2006,10.7626864289474
3Q2006,10.087810644651
4Q2006,9.42421873233245
1Q2007,8.80494371588167
2Q2007,8.45619193490175
3Q2007,8.38052290243234
4Q2007,8.06597425416297
1Q2008,7.50257715920921
2Q2008,7.44109758072649
3Q2008,7.56292047590599
4Q2008,8.10275458598862
1Q2009,9.40717930211338
2Q2009,11.3753518949416
3Q2009,12.2693158811474
4Q2009,12.6617622153307
1Q2010,12.6268362472698
2Q2010,12.4043902328351
3Q2010,12.415670907673
4Q2010,12.4600367798503
1Q2011,12.7941341078487
2Q2011,12.9876682028482
3Q2011,13.3260785957047
4Q2011,13.4978589685131
1Q2012,13.4188215536745
2Q2012,13.3879655429191
3Q2012,13.4454912125002
4Q2012,14.0883968703005
1Q2013,14.4500552322088
2Q2013,14.3884225726656
3Q2013,13.9469552228265
4Q2013,13.6135433350724
1Q2014,13.2321242560029
2Q2014,12.9448141894332
3Q2014,12.6159005979877
4Q2014,12.3277543473838
1Q2015,12.0837409426622
2Q2015,11.6873619293282
3Q2015,11.3821183723531
4Q2015,10.8165160138533
1Q2016,9.99946438181731
2Q2016,9.65530780388936
3Q2016,9.40142901410684
4Q2016,
,
