Name,"CPI,CPI - NBS structure (Core inflation, Net inflation, Regulated prices), NSA,CPI,[SK, nsa, index Dec 2000=100], SO SR","CPI,CPI - NBS structure (Core inflation, Net inflation, Regulated prices), NSA,Regulated prices,[SK, nsa, index Dec 2000=100], SO SR","CPI,CPI - NBS structure (Core inflation, Net inflation, Regulated prices), NSA,Core inflation (without Influence of indirect taxes changes in non-regulated prices),[SK, nsa, index Dec 2000=100], SO SR"
1.1993,,,
2.1993,,,
3.1993,,,
4.1993,,,
5.1993,,,
6.1993,,,
7.1993,,,
8.1993,,,
9.1993,,,
10.1993,,,
11.1993,,,
12.1993,,,
1.1994,,,
2.1994,,,
3.1994,,,
4.1994,,,
5.1994,,,
6.1994,,,
7.1994,,,
8.1994,,,
9.1994,,,
10.1994,,,
11.1994,,,
12.1994,,,
1.1995,,,
2.1995,,,
3.1995,,,
4.1995,,,
5.1995,,,
6.1995,,,
7.1995,,,
8.1995,,,
9.1995,,,
10.1995,,,
11.1995,,,
12.1995,,,
1.1996,,,
2.1996,,,
3.1996,,,
4.1996,,,
5.1996,,,
6.1996,,,
7.1996,,,
8.1996,,,
9.1996,,,
10.1996,,,
11.1996,,,
12.1996,71.9054043841026,52.2555095357717,80.0419878025464
1.1997,72.6627306294796,52.7274103562378,80.9107465602448
2.1997,72.9887578431784,52.9001910686277,81.2947064990268
3.1997,73.3805597031874,53.0117597599737,81.7876378652981
4.1997,73.7785644135604,53.3914643630392,82.2010089061118
5.1997,73.8215509039571,53.6909839923533,82.1608687377244
6.1997,74.0466991948539,53.7771382319679,82.4369017428143
7.1997,74.0918959549275,54.0257400002963,82.4164488745748
8.1997,74.8266525953069,56.4620553216081,82.5533938090229
9.1997,74.9815334479585,56.1566396195975,82.8628873025643
10.1997,75.6243911242643,56.3017028096836,83.6841373358008
11.1997,76.123488531261,56.3758466130979,84.3343542745224
12.1997,76.5044621105626,56.4185495730284,84.8352377846588
1.1998,77.9307074068397,58.2052030383402,85.8428461391794
2.1998,78.4795467538061,58.1483247969894,86.6032625305127
3.1998,78.6694576846804,58.1825049162317,86.8487184548454
4.1998,78.9748785416027,58.2325753495687,87.2450753768547
5.1998,79.4476876227179,58.2918042996886,87.8646551939397
6.1998,79.5363632746798,58.3494079248482,87.9656082434516
7.1998,79.2559095308355,58.3962587337833,87.5712062591306
8.1998,79.072556886067,58.4289601102252,87.3126780461566
9.1998,79.3987470535153,58.669437774294,87.6746548918875
10.1998,80.2950158781734,59.8910064011293,88.4853188799282
11.1998,80.6418721439016,59.9519296449294,88.9341166183405
12.1998,80.807892167328,59.9735778351662,89.2601893430921
1.1999,83.2295462338663,65.8005589265453,90.5078850827271
2.1999,83.9310505912285,66.8436226606336,91.1138693580163
3.1999,84.1559412045467,67.0525970171103,91.3492714218471
4.1999,84.5813952133698,67.3855202457215,91.815083851324
5.1999,84.7407618762314,67.4876283961698,91.9969798017444
6.1999,85.1536774977755,67.7287398889743,92.4759590081562
7.1999,90.0591907613491,81.7648042786474,92.9285923795625
8.1999,90.4783118686688,81.9323160198667,93.4400976906192
9.1999,91.0506230062683,82.3340417843346,94.0818229357533
10.1999,91.550207478349,82.7294959953727,94.6273143786647
11.1999,91.8827552205609,82.7975074128283,95.0544492290434
12.1999,92.2710307278558,82.8577387263175,95.5591488241409
1.2000,94.558482657739,87.9421491246129,96.5898687184232
2.2000,97.7255626591918,98.1519416694293,97.5215864466636
3.2000,98.0922583569949,98.8092257112222,97.8016022373191
4.2000,98.0693561467616,99.1077875437319,97.6727270267932
5.2000,98.3381578531145,99.1839650474176,98.0156933855493
6.2000,98.2769554967126,99.3004037379444,97.8970061760042
7.2000,98.30610352946,99.442757798185,97.8897922646716
8.2000,98.3741587192478,99.617880644765,97.9248910715152
9.2000,98.9684877886478,99.8285537867161,98.6617050829904
10.2000,99.3637387978434,99.9355546834469,99.1611631055327
11.2000,99.7783466025098,99.9825173028847,99.7061228326383
12.2000,100,100,100
1.2001,101.642991108648,106.386348829511,100.371468543274
2.2001,103.887879914048,114.201665485151,101.123127209355
3.2001,104.555966089224,114.94901994233,101.769964426468
4.2001,105.060730784538,114.796002412879,102.451056734227
5.2001,105.629428862005,114.846135777557,103.158763246799
6.2001,105.934587898382,114.950423804898,103.51776853213
7.2001,106.195480442214,117.438705168743,103.18157873194
8.2001,106.018679120571,117.506445559677,102.939224625958
9.2001,106.213699609343,117.83647376576,103.098054431007
10.2001,106.175291859169,117.945132651657,103.020223437346
11.2001,106.126596254284,118.023365337106,103.025969241943
12.2001,106.366851847863,118.814352206159,103.119603988944
1.2002,107.942932357145,121.083237419861,104.088012609097
2.2002,108.326460187755,121.049569725306,104.54907451429
3.2002,108.366117900495,121.094823263502,104.587275298815
4.2002,108.815812316756,121.184712179256,105.130648617152
5.2002,109.051475971035,121.551539464556,105.332162529605
6.2002,108.658179044536,121.617896773346,104.81919010055
7.2002,108.330383744458,121.64157306435,104.557446691762
8.2002,108.875576303788,123.9531246446,104.485189323306
9.2002,109.201450731,124.342261529167,104.794592747323
10.2002,109.249273310753,124.591649743044,104.789935731082
11.2002,109.241008856075,124.554790767703,104.789116141188
12.2002,109.956926950692,126.79497348476,105.108176944547
1.2003,115.768902624385,145.602411684838,106.088349364309
2.2003,116.505166772628,145.942073435665,106.917968630892
3.2003,116.985730853139,147.771275127133,107.048384366957
4.2003,117.161200895121,148.178628069315,107.16369956499
5.2003,117.301243453912,148.366636354475,107.283332898888
6.2003,117.750138368787,147.449545148514,108.079804964513
7.2003,117.723062073216,147.615816601637,108.016780604994
