"Tvorba a pouûitie dÙchodkov v sektore dom·cnostÌ v mil. EUR beûn˝ch cien"

" ";"1995Q1";"1995Q2";"1995Q3";"1995Q4";"1996Q1";"1996Q2";"1996Q3";"1996Q4";"1997Q1";"1997Q2";"1997Q3";"1997Q4";"1998Q1";"1998Q2";"1998Q3";"1998Q4";"1999Q1";"1999Q2";"1999Q3";"1999Q4";"2000Q1";"2000Q2";"2000Q3";"2000Q4";"2001Q1";"2001Q2";"2001Q3";"2001Q4";"2002Q1";"2002Q2";"2002Q3";"2002Q4";"2003Q1";"2003Q2";"2003Q3";"2003Q4";"2004Q1";"2004Q2";"2004Q3";"2004Q4";"2005Q1";"2005Q2";"2005Q3";"2005Q4";"2006Q1";"2006Q2";"2006Q3";"2006Q4";"2007Q1";"2007Q2";"2007Q3";"2007Q4";"2008Q1";"2008Q2";"2008Q3";"2008Q4";"2009Q1";"2009Q2";"2009Q3";"2009Q4";"2010Q1";"2010Q2";"2010Q3";"2010Q4";"2011Q1";"2011Q2";"2011Q3";"2011Q4";"2012Q1";"2012Q2";"2012Q3";"2012Q4";"2013Q1";"2013Q2";"2013Q3";"2013Q4";"2014Q1";"2014Q2";"2014Q3";"2014Q4";"2015Q1";"2015Q2";"2015Q3";"2015Q4";"2016Q1";"2016Q2";"2016Q3"
"BeûnÈ prÌjmy spolu"
"  mil. EUR";"668,26";"668,83";"723,93";"743,28";"727,78";"765,05";"778,93";"828,32";"766,18";"809,17";"815,67";"897,96";"848,57";"863,27";"898,53";"989,35";"1 032,50";"992,37";"1 008,63";"1 019,95";"1 131,41";"1 029,54";"1 026,89";"1 087,47";"1 173,90";"1 174,50";"1 083,25";"1 247,99";"1 265,15";"1 250,52";"1 304,62";"1 332,44";"1 218,76";"1 238,01";"1 257,83";"1 330,92";"1 443,00";"1 530,42";"1 526,14";"1 525,29";"1 637,26";"1 661,85";"1 671,43";"1 708,35";"1 717,39";"1 788,58";"1 818,93";"1 854,09";"1 845,63";"1 936,01";"1 962,22";"2 046,64";"2 104,57";"1 997,65";"2 072,05";"2 164,38";"2 333,19";"2 237,76";"2 342,60";"2 478,23";"2 576,29";"2 382,83";"2 507,87";"2 628,56";"2 529,40";"2 526,43";"2 518,89";"2 626,47";"2 654,53";"2 623,08";"2 581,33";"2 803,04";"2 722,15";"2 666,69";"2 608,56";"2 808,82";"2 777,68";"2 744,51";"2 730,06";"2 790,95";"2 664,27";"2 845,20";"2 804,52";"3 045,49";"2 816,88";"2 948,51";"2 898,08"
"OstatnÈ beûnÈ  transfery - prÌjmovÈ"
"  mil. EUR";"60,58";"64,96";"60,98";"88,40";"83,32";"126,70";"108,41";"116,74";"96,16";"99,22";"92,28";"126,50";"110,24";"117,74";"123,48";"136,49";"164,81";"140,68";"144,39";"161,52";"135,20";"145,85";"142,54";"165,17";"215,36";"236,57";"235,44";"231,79";"219,35";"232,92";"270,46";"254,40";"309,86";"288,01";"323,93";"264,95";"299,55";"295,60";"310,97";"264,83";"246,93";"270,13";"280,25";"290,12";"285,17";"298,35";"315,99";"348,21";"365,25";"388,70";"420,44";"435,54";"424,90";"456,34";"501,00";"523,43";"440,83";"472,98";"502,33";"534,08";"443,10";"469,35";"519,02";"559,47";"445,69";"461,57";"520,90";"547,44";"448,49";"464,36";"482,56";"492,05";"448,98";"488,52";"496,63";"500,99";"482,60";"517,93";"534,65";"560,99";"595,14";"648,59";"679,41";"691,90";"612,89";"685,24";"749,20"
"BeûnÈ v˝davky  spolu"
"  mil. EUR";"889,56";"1 057,19";"1 131,73";"1 261,20";"1 199,56";"1 223,37";"1 284,25";"1 368,21";"1 226,12";"1 320,72";"1 394,24";"1 618,00";"1 389,96";"1 351,62";"1 513,41";"1 672,33";"1 469,59";"1 438,01";"1 601,18";"1 760,19";"1 585,08";"1 474,84";"1 653,76";"1 903,03";"1 718,46";"1 683,53";"1 802,17";"2 153,57";"1 875,93";"1 862,90";"2 018,71";"2 366,99";"2 057,91";"2 015,26";"2 169,28";"2 480,28";"2 010,82";"2 211,21";"2 326,62";"2 786,85";"2 223,19";"2 450,07";"2 690,05";"3 071,34";"2 528,90";"2 799,75";"3 167,73";"3 667,28";"2 866,21";"3 067,95";"3 585,12";"4 135,60";"3 530,96";"3 705,96";"3 836,53";"4 171,97";"3 487,17";"3 515,00";"3 536,65";"3 908,01";"3 443,32";"3 629,45";"3 744,65";"3 906,96";"3 622,78";"3 761,82";"3 961,14";"4 181,00";"3 752,20";"3 996,78";"4 102,84";"4 348,72";"3 994,62";"3 997,32";"4 183,75";"4 415,55";"4 074,42";"4 320,32";"4 391,05";"4 647,57";"4 193,03";"4 462,45";"4 575,97";"5 005,23";"4 511,21";"4 749,43";"4 775,91"
"DÙchodky z  majetku - v˝davkovÈ"
"  mil. EUR";"8,22";"10,05";"19,44";"73,20";"64,06";"19,80";"19,00";"9,58";"33,59";"37,94";"24,12";"64,09";"32,09";"37,97";"38,97";"67,47";"36,13";"42,91";"46,89";"64,82";"36,89";"40,84";"26,84";"55,30";"23,57";"38,36";"32,22";"43,60";"31,20";"41,47";"40,54";"42,04";"34,93";"40,24";"45,55";"53,97";"61,49";"70,88";"77,45";"57,44";"71,13";"82,16";"89,59";"99,93";"147,41";"146,65";"170,45";"212,87";"218,26";"194,31";"221,86";"217,62";"205,37";"219,57";"231,00";"241,43";"122,64";"163,71";"151,25";"253,46";"99,11";"99,10";"105,58";"110,01";"110,54";"124,67";"164,70";"145,96";"71,08";"101,01";"104,40";"142,51";"72,26";"73,33";"84,74";"98,75";"67,93";"70,31";"78,81";"85,83";"73,99";"79,31";"86,66";"71,88";"79,12";"68,25";"82,35"
"BeûnÈ dane z dÙchodkov, majetku atÔ."
"  mil. EUR";"239,40";"197,84";"223,96";"205,07";"228,34";"246,93";"244,21";"265,55";"242,98";"275,58";"264,32";"336,39";"258,61";"244,77";"301,10";"343,66";"325,37";"291,87";"344,59";"387,94";"323,41";"241,22";"287,29";"358,36";"350,30";"282,51";"309,20";"418,84";"386,71";"271,43";"328,06";"437,13";"431,29";"305,32";"391,72";"490,94";"339,78";"352,48";"412,40";"534,99";"318,39";"370,32";"466,05";"625,41";"357,63";"400,58";"520,94";"673,33";"420,15";"434,76";"613,86";"784,56";"576,60";"638,80";"635,62";"677,22";"529,53";"526,75";"500,50";"537,22";"454,04";"516,05";"520,77";"581,83";"507,93";"568,06";"577,63";"622,50";"548,23";"609,62";"612,24";"661,62";"571,02";"600,79";"604,58";"672,02";"560,49";"645,27";"612,59";"732,61";"598,53";"699,71";"681,69";"798,40";"664,30";"748,79";"740,60"
"»istÈ soci·lne prÌspevky"
