"Hrub˝ dom·ci produkt podæa zloûiek v˝davkov v mil. EUR st·lych cien, indexy"

" ";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015"
"  mil. EUR s.c.10";"8 802,57";"11 217,49";"12 731,83";"13 757,76";"11 659,44";"10 628,17";"12 002,54";"12 001,96";"11 616,80";"12 164,04";"14 171,32";"15 457,52";"16 828,90";"17 096,61";"13 902,89";"14 909,90";"16 796,55";"15 285,82";"15 153,29";"15 330,99";"17 915,78"
"  indexy v s.c.10, romr=100";".";"127,4";"113,5";"108,1";"84,7";"91,2";"112,9";"100,0";"96,8";"104,7";"116,5";"109,1";"108,9";"101,6";"81,3";"107,2";"112,7";"91,0";"99,1";"101,2";"116,9"
"Zmena stavu z·sob a cennosti "
"  mil. EUR s.c.p.r.";"-48,54";"510,04";"194,55";"-520,82";"-496,43";"90,35";"390,09";"512,99";"-11,97";"1 085,40";"1 153,02";"871,75";"1 060,53";"1 837,79";"-333,59";"1 141,45";"666,61";"-220,24";"183,91";"969,70";"136,90"
"  mil. EUR s.c.10";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x"
"  indexy v s.c.10, romr=100";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x"
"Dom·ci dopyt spolu"
"  mil. EUR s.c.p.r.";"17 637,40";"22 638,45";"25 874,49";"27 870,04";"27 634,73";"30 112,47";"35 034,12";"38 521,35";"39 978,34";"44 726,61";"51 440,00";"56 212,90";"62 447,65";"67 622,77";"65 254,29";"67 900,59";"69 338,44";"68 394,40";"70 270,12";"73 287,94";"76 709,61"
"  mil. EUR s.c.10";"36 688,37";"43 110,18";"45 923,75";"47 914,33";"44 896,09";"45 361,46";"49 029,97";"50 957,24";"50 960,63";"54 024,67";"58 674,77";"62 552,45";"66 760,92";"70 805,88";"65 602,44";"68 558,88";"69 338,44";"66 538,34";"66 758,92";"68 881,22";"72 146,83"
"  indexy v s.c.10, romr=100";".";"117,5";"106,5";"104,3";"93,7";"101,0";"108,1";"103,9";"100,0";"106,0";"108,6";"106,6";"106,7";"106,1";"92,7";"104,5";"101,1";"96,0";"100,3";"103,2";"104,7"
"Saldo zahraniËnÈho obchodu"
"  mil. EUR s.c.p.r.";"280,22";"-1 622,48";"-2 591,09";"-2 474,91";"-1 025,36";"-1 219,38";"-2 384,79";"-2 658,93";"-678,41";"-1 144,87";"-2 226,18";"-1 536,27";"-97,79";"-1 019,10";"-476,66";"-649,67";"143,92";"3 403,21";"3 517,15";"2 788,73";"2 146,32"
"  mil. EUR s.c.10";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x"
"  indexy v s.c.10, romr=100";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x"
"V˝voz v˝robkov a sluûieb"
"  mil. EUR s.c.p.r.";"10 290,23";"11 003,60";"12 624,76";"13 093,95";"13 698,46";"14 569,13";"18 902,56";"21 225,35";"25 371,12";"31 121,22";"35 757,51";"44 646,64";"52 253,88";"54 093,96";"45 633,80";"50 096,35";"57 779,50";"65 656,43";"70 903,18";"72 131,79";"74 602,05"
"  mil. EUR s.c.10";"15 430,62";"15 215,92";"16 736,53";"16 299,50";"17 947,40";"19 291,59";"21 343,32";"22 845,44";"27 047,70";"32 688,92";"36 899,21";"45 356,30";"51 979,36";"53 548,75";"44 572,03";"51 585,30";"57 779,50";"63 156,76";"67 366,01";"69 830,78";"74 719,39"
"  indexy v s.c.10, romr=100";".";"98,6";"110,0";"97,4";"110,1";"107,5";"110,6";"107,0";"118,4";"120,9";"112,9";"122,9";"114,6";"103,0";"83,2";"115,7";"112,0";"109,3";"106,7";"103,7";"107,0"
"Dovoz v˝robkov a sluûieb"
"  mil. EUR s.c.p.r.";"10 010,00";"12 626,08";"15 215,85";"15 568,86";"14 723,81";"15 788,51";"21 287,35";"23 884,28";"26 049,53";"32 266,10";"37 983,69";"46 182,91";"52 351,67";"55 113,06";"46 110,45";"50 746,02";"57 635,58";"62 253,22";"67 386,03";"69 343,06";"72 455,73"
"  mil. EUR s.c.10";"16 604,07";"19 521,30";"21 500,00";"21 264,07";"20 504,59";"21 859,47";"26 000,48";"27 498,02";"29 691,40";"36 102,72";"41 631,64";"49 765,00";"54 464,74";"56 408,04";"45 822,23";"52 566,89";"57 635,58";"59 098,96";"62 413,58";"65 135,02";"70 426,03"
"  indexy v s.c.10, romr=100";".";"117,6";"110,1";"98,9";"96,4";"106,6";"118,9";"105,8";"108,0";"121,6";"115,3";"119,5";"109,4";"103,6";"81,2";"114,7";"109,6";"102,5";"105,6";"104,4";"108,1"
"ätatistick˝ rozdiel"
"  mil. EUR s.c.p.r.";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"  mil. EUR s.c.10";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x"
"  indexy v s.c.10, romr=100";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x"
"Hrub˝ dom·ci produkt pouûit˝"
"  mil. EUR s.c.p.r.";"17 917,62";"21 015,98";"23 283,41";"25 395,12";"26 609,37";"28 893,09";"32 649,33";"35 862,42";"39 299,93";"43 581,73";"49 213,82";"54 676,62";"62 349,86";"66 603,68";"64 777,64";"67 250,92";"69 482,36";"71 797,60";"73 787,27";"76 076,67";"78 855,93"
"  mil. EUR s.c.10";"35 217,81";"37 597,53";"39 878,77";"41 478,63";"41 393,57";"41 894,51";"43 283,93";"45 241,57";"47 693,08";"50 201,18";"53 590,24";"58 120,17";"64 396,90";"68 022,30";"64 333,76";"67 577,29";"69 482,36";"70 633,79";"71 686,69";"73 529,64";"76 346,63"
"  indexy v s.c.10, romr=100";".";"106,8";"106,1";"104,0";"99,8";"101,2";"103,3";"104,5";"105,4";"105,3";"106,8";"108,5";"110,8";"105,6";"94,6";"105,0";"102,8";"101,7";"101,5";"102,6";"103,8"

"Pozn·mky:"
"metodika ESA 2010, podæa ötvrùroËn˝ch n·rodn˝ch ˙Ëtov"
